id,vas_id offer
3130519,6
2000860,6
1099444,6
1343255,6
1277040,6
720364,6
3195325,6
3324464,6
1935449,6
3726752,6
4088271,6
854258,6
3324470,6
921310,6
4151132,6
3662743,6
1054895,6
451190,6
988254,6
3897379,6
2350299,6
2458837,6
2654716,6
3216641,6
2892547,6
3748157,6
2219493,6
3065456,6
966101,6
22458,6
1803243,6
1847529,6
316070,6
4193409,6
2437191,6
1454143,6
1825565,6
2719949,6
1564697,6
1781273,6
406211,6
203226,6
293618,6
1586745,6
4256689,6
113000,6
809846,6
2827970,6
698151,6
3833670,6
2545742,6
1210664,6
3151966,6
4256694,6
225822,6
3599024,6
1054911,6
518718,6
2306757,6
3876192,6
787607,6
293629,6
675624,6
720405,6
3022652,6
3599030,6
1054927,6
338563,6
3876202,6
1825586,6
1188472,6
3577781,6
1166040,6
3662791,6
3151984,6
1847560,6
1032659,6
3748192,6
3769529,6
158300,6
675633,6
3324505,6
2849350,6
3641703,6
4341358,6
1099495,6
2524151,6
55,6
876811,6
3726792,6
67852,6
135762,6
1631176,6
1542555,6
4172149,6
541045,6
2044801,6
158310,6
64,6
2633084,6
1825599,6
3151997,6
4341369,6
2197968,6
653136,6
1143887,6
4256726,6
2350349,6
2175845,6
2066716,6
809881,6
1759409,6
1542562,6
3238028,6
2241284,6
1365600,6
406253,6
720431,6
1759413,6
113043,6
406254,6
2393615,6
2502506,6
3043970,6
3043970,6
2958090,6
3982702,6
787650,6
921375,6
3043972,6
3345790,6
496118,6
1498731,6
2350371,6
2066730,6
3876233,6
4067152,6
3130584,6
630715,6
3345796,6
225876,6
1321202,6
1343350,6
1321203,6
1143910,6
4151202,6
2458927,6
4341395,6
3345798,6
3259834,6
3876245,6
1715441,6
1957188,6
1781336,6
1254877,6
1869449,6
4256761,6
2936117,6
180899,6
2219571,6
2892642,6
2263078,6
22540,6
3431757,6
2372041,6
473684,6
1188518,6
2545815,6
1409717,6
3918726,6
2611249,6
1935537,6
135797,6
4067163,6
3748240,6
1693306,6
3684231,6
3855233,6
22545,6
2806244,6
180910,6
1298928,6
787683,6
2698292,6
90407,6
2892650,6
2611257,6
876863,6
1431966,6
3345820,6
1586833,6
2892659,6
4067174,6
2849412,6
1979143,6
630747,6
3195455,6
3939947,6
4341420,6
2806263,6
4235736,6
1913584,6
1298941,6
2132180,6
2480623,6
1188537,6
3684242,6
4109611,6
608657,6
4109613,6
876875,6
2676633,6
1891470,6
3961422,6
4045842,6
1586849,6
1520573,6
2284864,6
113094,6
2263117,6
1759463,6
1032721,6
3130635,6
2720041,6
876882,6
3130638,6
2633155,6
1564812,6
2066798,6
4045847,6
2132202,6
1869495,6
3065582,6
966211,6
3152094,6
2263127,6
3961437,6
3855269,6
1631256,6
1935566,6
2741634,6
271191,6
3130651,6
3876288,6
1957237,6
3108893,6
563485,6
2393698,6
3577869,6
921445,6
921445,6
943851,6
2350438,6
1166120,6
2415599,6
1586872,6
180955,6
3216774,6
361321,6
384115,6
248409,6
720503,6
1759485,6
248411,6
1055019,6
451321,6
1520598,6
2022985,6
1979182,6
586104,6
203335,6
1781389,6
45419,6
3833781,6
3833784,6
3474688,6
4024654,6
1254938,6
151,6
